user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
KM301	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__JAAYFT01;s__JAAYFT01 sp012735245	GCA_012735245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__JAAYFT01;s__JAAYFT01 sp012735245	99.59	0.85	GCA_012735245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__JAAYFT01;s__JAAYFT01 sp012735245	99.59	0.85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__JAAYFT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012728125.1, s__JAAYFT01 sp012728125, 95.0, 82.72, 0.72; GCA_012519355.1, s__JAAYFT01 sp012519355, 95.0, 82.08, 0.69	89.04	11	N/A	N/A
KM303	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__JAAYLA01;g__JAAYLA01;s__JAAYLA01 sp012522135	GCA_012522135.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__JAAYLA01;g__JAAYLA01;s__JAAYLA01 sp012522135	99.52	0.93	GCA_012522135.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__JAAYLA01;g__JAAYLA01;s__JAAYLA01 sp012522135	99.52	0.93	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.25	11	N/A	N/A
KM31	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium;s__Acetomicrobium sp012518015	GCA_012518015.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium;s__Acetomicrobium sp012518015	98.0	0.87	GCA_012518015.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium;s__Acetomicrobium sp012518015	98.0	0.87	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002385485.1, s__Acetomicrobium sp002385485, 96.1959, 79.93, 0.18; GCA_002433005.1, s__Acetomicrobium sp002433005, 96.2563, 78.31, 0.18; GCF_000160455.2, s__Acetomicrobium hydrogeniformans, 96.8272, 78.0, 0.2; GCF_900107215.1, s__Acetomicrobium thermoterrenum, 96.8272, 77.8, 0.19; GCA_900129645.1, s__Acetomicrobium flavidum, 95.0, 77.7, 0.25	88.66	11	N/A	N/A
KM34	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__DTU063;s__DTU063 sp001512695	GCA_001512695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__DTU063;s__DTU063 sp001512695	99.71	0.86	GCA_001512695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__DTU063;s__DTU063 sp001512695	99.71	0.86	d__Bacteria;p__Firmicutes_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__DTU063;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012842445.1, s__DTU063 sp012842445, 95.0, 78.52, 0.46	88.05	11	N/A	N/A
KM36	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	GCF_017368815.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	98.01	0.95	GCF_017368815.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	98.01	0.95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019104825.1, s__Comamonas sp019104825, 95.0, 83.55, 0.62; GCF_000739875.1, s__Comamonas aquatica, 95.0, 79.58, 0.58; GCA_018384835.1, s__Comamonas sp018384835, 95.0, 79.32, 0.42; GCF_001544075.1, s__Comamonas terrae, 95.0, 79.17, 0.53; GCF_900461435.1, s__Comamonas terrigena, 95.0, 79.05, 0.54; GCF_014637085.1, s__Comamonas phosphati, 95.0, 78.97, 0.53; GCF_902829245.1, s__Comamonas jiangduensis, 95.0, 78.89, 0.42; GCF_001598795.1, s__Comamonas acidovorans, 95.4801, 78.86, 0.54; GCF_000429845.1, s__Comamonas composti, 95.0, 78.81, 0.45; GCF_008801935.1, s__Comamonas kerstersii, 95.0, 78.78, 0.52; GCA_015478895.1, s__Comamonas sp015478895, 95.0, 78.74, 0.48; GCF_900564145.1, s__Comamonas sp900564145, 95.0, 78.72, 0.49; GCF_001571325.1, s__Comamonas tsuruhatensis, 95.4801, 78.71, 0.54; GCF_019186805.1, s__Comamonas sp019186805, 95.0, 78.63, 0.51; GCF_000761245.1, s__Comamonas testosteroni_C, 95.0, 78.6, 0.43; GCF_000739375.1, s__Comamonas testosteroni_B, 95.0, 78.57, 0.47; GCF_014076415.1, s__Comamonas testosteroni_F, 95.0, 78.55, 0.43; GCF_003569915.1, s__Comamonas testosteroni_D, 95.0, 78.55, 0.51; GCF_000964545.1, s__Comamonas thiooxydans, 95.0, 78.54, 0.45; GCF_008727115.1, s__Comamonas testosteroni_E, 95.0, 78.5, 0.44; GCF_014836675.1, s__Comamonas sp014836675, 95.0, 78.49, 0.47; GCA_019236485.1, s__Comamonas sp019236485, 95.0, 78.47, 0.41; GCA_009360615.1, s__Comamonas sp009360615, 95.0, 78.46, 0.41; GCF_000241525.1, s__Comamonas testosteroni, 95.0, 78.45, 0.44; GCF_004364775.1, s__Comamonas sp004364775, 95.0, 78.32, 0.44; GCF_014076495.1, s__Comamonas koreensis, 95.0, 78.32, 0.44; GCF_014109725.1, s__Comamonas piscis, 95.0, 78.3, 0.44; GCF_014204315.1, s__Comamonas konjaci_A, 95.0, 78.21, 0.47; GCF_013363755.1, s__Comamonas antarcticus, 95.0, 78.2, 0.44; GCF_014207855.1, s__Comamonas odontotermitis, 95.0, 78.17, 0.41; GCF_902706035.1, s__Comamonas sp902706035, 95.0, 78.14, 0.45; GCF_018413525.1, s__Comamonas sp018413525, 95.0, 78.13, 0.41; GCF_002754475.1, s__Comamonas sp002754475, 95.0, 78.06, 0.45; GCF_012844455.2, s__Comamonas suwonensis, 95.0, 78.02, 0.43; GCA_002472915.1, s__Comamonas sp002472915, 95.0, 77.95, 0.44	82.37	11	N/A	N/A
KM4	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__UBA6128;s__	N/A	N/A	N/A	N/A	N/A	GCA_002423325.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__UBA6128;s__UBA6128 sp002423325	83.79	0.72	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__UBA6128;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	80.96	11	0.9707738217662285	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
KM46	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	GCF_002834235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.28	0.99	GCF_002834235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.28	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 95.47, 0.95; GCA_905215855.1, s__Ruminococcus_E sp905215855, 95.0, 94.66, 0.93; GCA_902771755.1, s__Ruminococcus_E sp902771755, 95.0, 92.44, 0.82; GCA_902766775.1, s__Ruminococcus_E sp902766775, 95.0, 90.93, 0.79; GCF_003438075.1, s__Ruminococcus_E sp003438075, 95.0, 80.47, 0.52; GCF_014288065.1, s__Ruminococcus_E sp003526955, 95.0, 80.42, 0.48; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 79.93, 0.41; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 79.66, 0.53; GCA_902766885.1, s__Ruminococcus_E sp902766885, 95.0, 79.59, 0.55; GCA_900755995.1, s__Ruminococcus_E sp900755995, 95.0, 79.37, 0.38; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 79.25, 0.49; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 79.04, 0.4; GCA_910585865.1, s__Ruminococcus_E sp910585865, 95.0, 78.9, 0.44; GCF_900101355.1, s__Ruminococcus_E bromii_A, 95.0, 78.86, 0.4; GCA_904393835.1, s__Ruminococcus_E sp904393835, 95.0, 78.79, 0.41; GCA_900543095.1, s__Ruminococcus_E sp900543095, 95.0, 78.42, 0.42; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.17, 0.27; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.93, 0.29; GCA_017521925.1, s__Ruminococcus_E sp017521925, 95.0, 77.92, 0.1; GCA_017380355.1, s__Ruminococcus_E sp017380355, 95.0, 77.83, 0.08; GCA_900319615.1, s__Ruminococcus_E sp900319615, 95.0, 77.81, 0.03; GCA_015066595.1, s__Ruminococcus_E sp015066595, 95.0, 77.76, 0.1; GCA_902767845.1, s__Ruminococcus_E sp902767845, 95.0, 77.69, 0.12; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.68, 0.2; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 77.67, 0.25; GCA_905233145.1, s__Ruminococcus_E sp905233145, 95.0, 77.66, 0.23; GCA_902794395.1, s__Ruminococcus_E sp902794395, 95.0, 77.64, 0.13; GCA_905235715.1, s__Ruminococcus_E sp905235715, 95.0, 77.6, 0.03; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 77.58, 0.23; GCA_017458105.1, s__Ruminococcus_E sp017458105, 95.0, 77.57, 0.12; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 77.56, 0.2; GCA_905235295.1, s__Ruminococcus_E sp905235295, 95.0, 77.55, 0.26; GCA_018065465.1, s__Ruminococcus_E sp018065465, 95.0, 77.54, 0.08; GCA_902784855.1, s__Ruminococcus_E sp902784855, 95.0, 77.54, 0.08; GCA_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 77.53, 0.14; GCA_004560275.1, s__Ruminococcus_E sp004560275, 95.0, 77.5, 0.25; GCF_018918205.1, s__Ruminococcus_E sp018918205, 95.0, 77.5, 0.16; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 77.47, 0.19; GCA_902772755.1, s__Ruminococcus_E sp902772755, 95.0, 77.45, 0.08; GCA_017407755.1, s__Ruminococcus_E sp017407755, 95.0, 77.41, 0.12; GCA_902790475.1, s__Ruminococcus_E sp902790475, 95.0, 77.4, 0.14; GCA_017473555.1, s__Ruminococcus_E sp017473555, 95.0, 77.38, 0.12; GCA_902792105.1, s__Ruminococcus_E sp902792105, 95.0, 77.37, 0.24; GCA_902777275.1, s__Ruminococcus_E sp902777275, 95.0, 77.36, 0.13; GCA_902774325.1, s__Ruminococcus_E sp902774325, 95.0, 77.35, 0.1; GCA_017416065.1, s__Ruminococcus_E sp017416065, 95.0, 77.35, 0.07; GCA_902785365.1, s__Ruminococcus_E sp902785365, 95.0, 77.27, 0.15; GCA_902799325.1, s__Ruminococcus_E sp902799325, 95.0, 77.27, 0.1; GCA_900316385.1, s__Ruminococcus_E sp900316385, 95.0, 77.25, 0.12; GCA_017446165.1, s__Ruminococcus_E sp017446165, 95.0, 77.23, 0.03; GCA_017464765.1, s__Ruminococcus_E sp017464765, 95.0, 77.16, 0.09; GCA_900315785.1, s__Ruminococcus_E sp900315785, 95.0, 77.14, 0.16; GCA_017456845.1, s__Ruminococcus_E sp017456845, 95.0, 77.14, 0.1; GCA_902776375.1, s__Ruminococcus_E sp902776375, 95.0, 77.12, 0.16; GCA_017410265.1, s__Ruminococcus_E sp017410265, 95.0, 77.12, 0.11; GCA_015065545.1, s__Ruminococcus_E sp015065545, 95.0, 77.09, 0.12; GCA_015065665.1, s__Ruminococcus_E sp015065665, 95.0, 77.09, 0.11; GCA_017411385.1, s__Ruminococcus_E sp017411385, 95.0, 77.08, 0.12; GCA_017411835.1, s__Ruminococcus_E sp017411835, 95.0, 77.07, 0.11; GCA_902798365.1, s__Ruminococcus_E sp902798365, 95.0, 77.04, 0.16; GCA_017458845.1, s__Ruminococcus_E sp017458845, 95.0, 76.97, 0.15; GCA_015066245.1, s__Ruminococcus_E sp015066245, 95.0, 76.96, 0.12; GCA_902787145.1, s__Ruminococcus_E sp902787145, 95.0, 76.96, 0.09; GCA_002350765.1, s__Ruminococcus_E sp002350765, 95.0, 76.95, 0.12; GCA_902798605.1, s__Ruminococcus_E sp902798605, 95.0, 76.95, 0.18; GCA_017433905.1, s__Ruminococcus_E sp017433905, 95.0, 76.94, 0.08; GCA_905234535.1, s__Ruminococcus_E sp905234535, 95.0, 76.89, 0.03; GCA_017473775.1, s__Ruminococcus_E sp017473775, 95.0, 76.89, 0.1; GCA_017481885.1, s__Ruminococcus_E sp017481885, 95.0, 76.88, 0.1; GCA_902797655.1, s__Ruminococcus_E sp902797655, 95.0, 76.87, 0.1; GCA_017471345.1, s__Ruminococcus_E sp017471345, 95.0, 76.87, 0.13; GCA_902761375.1, s__Ruminococcus_E sp902761375, 95.0, 76.86, 0.11; GCA_902797225.1, s__Ruminococcus_E sp902797225, 95.0, 76.83, 0.07; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 76.82, 0.18; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 76.8, 0.17; GCA_017457155.1, s__Ruminococcus_E sp017457155, 95.0, 76.79, 0.07; GCA_902793125.1, s__Ruminococcus_E sp902793125, 95.0, 76.78, 0.13; GCA_017465505.1, s__Ruminococcus_E sp017465505, 95.0, 76.77, 0.15; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 76.69, 0.1; GCF_005601135.1, s__Ruminococcus_E sp900314705, 95.0, 76.67, 0.16; GCA_002353935.1, s__Ruminococcus_E sp002353935, 95.0, 76.67, 0.04; GCA_900317315.1, s__Ruminococcus_E sp900317315, 95.0, 76.62, 0.08; GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 76.55, 0.09; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 76.53, 0.17; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 76.51, 0.07; GCA_905234305.1, s__Ruminococcus_E sp905234305, 95.0, 76.5, 0.1; GCA_902765625.1, s__Ruminococcus_E sp902765625, 95.0, 76.42, 0.16; GCA_017384945.1, s__Ruminococcus_E sp017384945, 95.0, 76.4, 0.09; GCA_902797525.1, s__Ruminococcus_E sp902797525, 95.0, 76.39, 0.1; GCA_017502425.1, s__Ruminococcus_E sp017502425, 95.0, 76.29, 0.06; GCA_017473955.1, s__Ruminococcus_E sp017473955, 95.0, 76.28, 0.09; GCA_902773035.1, s__Ruminococcus_E sp902773035, 95.0, 76.23, 0.1; GCA_905234015.1, s__Ruminococcus_E sp905234015, 95.0, 76.15, 0.12; GCA_017395925.1, s__Ruminococcus_E sp017395925, 95.0, 76.13, 0.08; GCA_902767325.1, s__Ruminococcus_E sp902767325, 95.0, 76.1, 0.14; GCA_017481395.1, s__Ruminococcus_E sp017481395, 95.0, 76.06, 0.05; GCA_017421045.1, s__Ruminococcus_E sp017421045, 95.0, 76.05, 0.05; GCA_902773155.1, s__Ruminococcus_E sp902773155, 95.0, 75.93, 0.03; GCA_017404145.1, s__Ruminococcus_E sp017404145, 95.0, 75.83, 0.05	78.85	11	N/A	N/A
KM47	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__JAAZCR01;s__JAAZCR01 sp012513195	GCA_012513195.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__JAAZCR01;s__JAAZCR01 sp012513195	99.26	0.96	GCA_012513195.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__JAAZCR01;s__JAAZCR01 sp012513195	99.26	0.96	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__JAAZCR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012516175.1, s__JAAZCR01 sp012516175, 95.0, 82.5, 0.67	96.09	11	N/A	N/A
KM48	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__Brachymonas sp017993135	GCA_017993135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__Brachymonas sp017993135	99.53	0.89	GCA_017993135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__Brachymonas sp017993135	99.53	0.89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017996515.1, s__Brachymonas sp017996515, 95.0, 77.88, 0.3; GCF_907163135.1, s__Brachymonas denitrificans_A, 95.0, 77.34, 0.22; GCA_018054915.1, s__Brachymonas sp018054915, 95.0, 77.11, 0.19; GCF_000374625.1, s__Brachymonas chironomi, 95.0, 77.05, 0.19; GCF_900110225.1, s__Brachymonas denitrificans, 95.0, 76.96, 0.23; GCA_012729605.1, s__Brachymonas sp012729605, 95.0, 76.85, 0.15	95.93	11	N/A	N/A
KM49	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium sp003526765	GCA_003526765.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium sp003526765	98.36	0.96	GCA_003526765.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium sp003526765	98.36	0.96	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002432805.1, s__Fervidobacterium sp002432805, 95.0, 93.82, 0.89; GCA_003522805.1, s__Fervidobacterium sp003522805, 95.0, 79.95, 0.49; GCF_000235405.2, s__Fervidobacterium pennivorans, 95.0, 78.3, 0.12; GCF_001644665.1, s__Fervidobacterium pennivorans_A, 95.0, 78.09, 0.12; GCF_004117075.1, s__Fervidobacterium changbaicum, 95.0, 77.84, 0.1; GCF_900143265.1, s__Fervidobacterium gondwanense, 95.0, 77.75, 0.1; GCF_000017545.1, s__Fervidobacterium nodosum, 95.0, 77.31, 0.1	91.84	11	N/A	N/A
KM54	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Caldatribacteriaceae;g__UBA3950;s__UBA3950 sp002385475	GCA_002385475.1	95.0	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Caldatribacteriaceae;g__UBA3950;s__UBA3950 sp002385475	98.13	0.85	GCA_002385475.1	95.0	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Caldatribacteriaceae;g__UBA3950;s__UBA3950 sp002385475	98.13	0.85	d__Bacteria;p__Atribacterota;c__Atribacteria;o__Atribacterales;f__Caldatribacteriaceae;g__UBA3950;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018056825.1, s__UBA3950 sp018056825, 95.0, 81.05, 0.66	87.99	11	N/A	N/A
KM55	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Fermentibacter;s__Fermentibacter daniensis	GCA_001618605.1	95.0	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Fermentibacter;s__Fermentibacter daniensis	99.88	0.95	GCA_001618605.1	95.0	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Fermentibacter;s__Fermentibacter daniensis	99.88	0.95	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.81	11	N/A	N/A
KM56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__	N/A	N/A	N/A	N/A	N/A	GCA_012521615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__DTU059 sp012521615	79.85	0.55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012521705.1, s__DTU059 sp012521705, 95.0, 76.88, 0.17; GCA_012520615.1, s__DTU059 sp012520615, 95.0, 76.61, 0.04; GCA_012719545.1, s__DTU059 sp012719545, 95.0, 76.59, 0.13; GCA_012840245.1, s__DTU059 sp012840245, 95.0, 76.53, 0.09; GCA_012728095.1, s__DTU059 sp012728095, 95.0, 76.5, 0.09; GCA_012520855.1, s__DTU059 sp012520855, 95.0, 76.28, 0.07; GCA_012523685.1, s__DTU059 sp012523685, 95.0, 76.15, 0.05; GCA_002376415.1, s__DTU059 sp002376415, 95.0, 76.06, 0.05; GCA_012523705.1, s__DTU059 sp012523705, 95.0, 75.93, 0.04; GCA_012842645.1, s__DTU059 sp012842645, 95.0, 75.84, 0.07; GCA_012839205.1, s__DTU059 sp012839205, 95.0, 75.72, 0.06; GCA_003535195.1, s__DTU059 sp003535195, 95.0, 75.66, 0.05	90.17	11	0.9623078533451507	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
KM57	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__DTU022;s__DTU022 sp001512835	GCA_001512835.1	95.0	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__DTU022;s__DTU022 sp001512835	99.87	0.94	GCA_001512835.1	95.0	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__DTU022;s__DTU022 sp001512835	99.87	0.94	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.85	11	N/A	N/A
KM58	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.47	11	0.7806170713015324	N/A
KM62	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Avimonas;s__Avimonas sp001513365	GCA_001513365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Avimonas;s__Avimonas sp001513365	99.61	0.9	GCA_001513365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Avimonas;s__Avimonas sp001513365	99.61	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Avimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012839705.1, s__Avimonas sp012839705, 95.0, 77.64, 0.35; GCA_905192745.1, s__Avimonas sp900551425, 95.0, 76.89, 0.09; GCA_002410715.1, s__Avimonas sp002410715, 95.0, 76.64, 0.06; GCA_012522615.1, s__Avimonas sp012522615, 95.0, 76.6, 0.15; GCA_900761355.1, s__Avimonas intestinalis, 95.0, 76.5, 0.12; GCF_904419875.1, s__Avimonas caecicola, 95.0, 76.49, 0.1; GCA_002409375.1, s__Avimonas sp002409375, 95.0, 76.39, 0.05; GCF_904419005.1, s__Avimonas faecium, 95.0, 76.37, 0.1; GCF_904377855.1, s__Avimonas merdigallinarum, 95.0, 76.12, 0.1; GCA_003519645.1, s__Avimonas sp003519645, 95.0, 75.74, 0.04	91.78	11	N/A	N/A
KM66	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__DTU087;s__DTU087 sp012839845	GCA_012839845.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__DTU087;s__DTU087 sp012839845	99.45	0.87	GCA_012839845.1	95.0	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__DTU087;s__DTU087 sp012839845	99.45	0.87	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__DTU087;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012735435.1, s__DTU087 sp012735435, 95.0, 80.22, 0.63; GCA_012510855.1, s__DTU087 sp012510855, 95.0, 80.06, 0.59; GCA_012727675.1, s__DTU087 sp012727675, 95.0, 79.83, 0.54; GCA_001513495.1, s__DTU087 sp001513495, 95.0, 78.88, 0.49	85.39	11	N/A	N/A
